,entity 1,entity 2,entity 3,entity 4,entity 5,entity 6,entity 7,entity 8,entity 9,entity 10,entity 11,entity 12,entity 13
", ABI Growler is a two-rowed malt that exhibits high yield potential under irrigation, although the three-year yield and test weight averages were lower than the average other two-rowed malt barley in these trials (Table 49).","{'start': 2, 'end': 13, 'label': 'CVAR'}","{'start': 19, 'end': 28, 'label': 'TRAT'}","{'start': 29, 'end': 33, 'label': 'TRAT'}","{'start': 53, 'end': 68, 'label': 'TRAT'}","{'start': 111, 'end': 116, 'label': 'TRAT'}","{'start': 121, 'end': 132, 'label': 'TRAT'}","{'start': 176, 'end': 185, 'label': 'TRAT'}","{'start': 186, 'end': 190, 'label': 'TRAT'}","{'start': 191, 'end': 197, 'label': 'CROP'}",,,,
AAC Connect has malt quality similar to AC Metcalfe.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 16, 'end': 28, 'label': 'TRAT'}","{'start': 40, 'end': 51, 'label': 'CVAR'}",,,,,,,,,,
"AAC Synergy  released in 2015 by Agriculture Canada,","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 25, 'end': 29, 'label': 'DATE'}","{'start': 33, 'end': 51, 'label': 'ORG'}",,,,,,,,,,
AAC Synergy also expressed high levels of resistance to foliar pathogens.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 42, 'end': 52, 'label': 'PPTD'}","{'start': 56, 'end': 72, 'label': 'PATH'}",,,,,,,,,,
AAC Synergy is a two-rowed malt barley in the fifth year of testing in these trials.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 17, 'end': 26, 'label': 'TRAT'}","{'start': 27, 'end': 31, 'label': 'TRAT'}","{'start': 32, 'end': 38, 'label': 'CROP'}",,,,,,,,,
ABI Eagle (2B11-4949),"{'start': 0, 'end': 9, 'label': 'CVAR'}","{'start': 11, 'end': 20, 'label': 'ALAS'}",,,,,,,,,,,
"ABI Eagle should replace Merit 57, having mid-level protein, with heading date two daylater than Voyager, two  three inches shorter, and plumps were a little lower.","{'start': 0, 'end': 9, 'label': 'CVAR'}","{'start': 25, 'end': 33, 'label': 'CVAR'}","{'start': 52, 'end': 59, 'label': 'TRAT'}","{'start': 66, 'end': 78, 'label': 'TRAT'}","{'start': 97, 'end': 104, 'label': 'CVAR'}","{'start': 124, 'end': 131, 'label': 'TRAT'}","{'start': 137, 'end': 143, 'label': 'TRAT'}",,,,,,
ABI Growler (2B09-3425)  a 2015 release from Busch Agricultural Resources,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 13, 'end': 22, 'label': 'ALAS'}","{'start': 27, 'end': 31, 'label': 'DATE'}","{'start': 45, 'end': 73, 'label': 'ORG'}",,,,,,,,,
"ABI Growler may produce more thins under high temperatures, which can be reduced by increasing irrigation.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 29, 'end': 34, 'label': 'TRAT'}",,,,,,,,,,,
"ABI Voyager (B3719)  a 2011 release from Busch Agricultural Resources, Voyager consistently out yields many other two-rowed malt varieties in the production area.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 13, 'end': 18, 'label': 'ALAS'}","{'start': 23, 'end': 27, 'label': 'DATE'}","{'start': 41, 'end': 69, 'label': 'ORG'}","{'start': 71, 'end': 78, 'label': 'CVAR'}","{'start': 114, 'end': 123, 'label': 'TRAT'}","{'start': 124, 'end': 128, 'label': 'TRAT'}",,,,,,
"ABI Voyager is susceptible to cereal cyst nematode (CCN), and for FHB shows DON accumulation at a little less than average.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 15, 'end': 26, 'label': 'PPTD'}","{'start': 30, 'end': 50, 'label': 'PATH'}","{'start': 52, 'end': 55, 'label': 'PATH'}","{'start': 66, 'end': 69, 'label': 'PATH'}","{'start': 76, 'end': 92, 'label': 'TRAT'}",,,,,,,
"AC Metcalfe (TR232)  two-rowed malting barley released in 1994 by Agriculture and Agri-Food Canada with excellent quality, lower yield potential than average, and taller with similar test weight and lodging to Conrad.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 13, 'end': 18, 'label': 'ALAS'}","{'start': 21, 'end': 30, 'label': 'TRAT'}","{'start': 31, 'end': 38, 'label': 'TRAT'}","{'start': 39, 'end': 45, 'label': 'CROP'}","{'start': 58, 'end': 62, 'label': 'DATE'}","{'start': 66, 'end': 98, 'label': 'ORG'}","{'start': 114, 'end': 121, 'label': 'TRAT'}","{'start': 129, 'end': 144, 'label': 'TRAT'}","{'start': 163, 'end': 169, 'label': 'TRAT'}","{'start': 183, 'end': 194, 'label': 'TRAT'}","{'start': 199, 'end': 206, 'label': 'TRAT'}","{'start': 210, 'end': 216, 'label': 'CVAR'}"
"BARLEY - Malt AAC Connect (TR04282)  released in 2016 by Agriculture Canada, AAC Connect has been in the trials for two years.","{'start': 14, 'end': 25, 'label': 'CVAR'}","{'start': 27, 'end': 34, 'label': 'ALAS'}","{'start': 49, 'end': 53, 'label': 'DATE'}","{'start': 57, 'end': 75, 'label': 'ORG'}","{'start': 77, 'end': 88, 'label': 'CVAR'}",,,,,,,,
FHB reaction initially has been similar to ABI Voyager.,"{'start': 0, 'end': 12, 'label': 'TRAT'}","{'start': 43, 'end': 54, 'label': 'CVAR'}",,,,,,,,,,,
"For FHB data, DON accumulations were similar to Voyager.","{'start': 14, 'end': 31, 'label': 'TRAT'}","{'start': 48, 'end': 55, 'label': 'CVAR'}",,,,,,,,,,,
"Growler hits the average for height, test weight, proteins and plumps, and was one day later in heading date with less lodging than Voyager.","{'start': 0, 'end': 7, 'label': 'CVAR'}","{'start': 29, 'end': 35, 'label': 'TRAT'}","{'start': 37, 'end': 48, 'label': 'TRAT'}","{'start': 50, 'end': 58, 'label': 'TRAT'}","{'start': 63, 'end': 69, 'label': 'TRAT'}","{'start': 96, 'end': 108, 'label': 'TRAT'}","{'start': 119, 'end': 126, 'label': 'TRAT'}","{'start': 132, 'end': 139, 'label': 'CVAR'}",,,,,
"Height of Synergy is four inches less than Copeland, higher than Conrad, with similar tendencies for high lodging under irrigation.","{'start': 0, 'end': 6, 'label': 'TRAT'}","{'start': 10, 'end': 17, 'label': 'CVAR'}","{'start': 43, 'end': 51, 'label': 'CVAR'}","{'start': 65, 'end': 71, 'label': 'CVAR'}","{'start': 106, 'end': 113, 'label': 'TRAT'}",,,,,,,,
"In 2019, AAC Connect had high protein in the trials, and was at or a little lower than average for yield (Table 50).","{'start': 3, 'end': 7, 'label': 'DATE'}","{'start': 30, 'end': 37, 'label': 'TRAT'}","{'start': 99, 'end': 104, 'label': 'TRAT'}",,,,,,,,,,
"In Fusarium head blight (FHB) screening trials, AAC Synergy had one of the lowest indices for infection and was average to below average for levels of DON on the seed.","{'start': 3, 'end': 23, 'label': 'PATH'}","{'start': 25, 'end': 28, 'label': 'PATH'}","{'start': 48, 'end': 59, 'label': 'CVAR'}","{'start': 82, 'end': 103, 'label': 'TRAT'}","{'start': 141, 'end': 166, 'label': 'TRAT'}",,,,,,,,
"It is a mid-maturity two-rowed variety with moderate resistance stemrust, spot blotch, spot form of net blotch (SFNB), and Fusarium head blight (FHB).","{'start': 8, 'end': 20, 'label': 'TRAT'}","{'start': 21, 'end': 30, 'label': 'TRAT'}","{'start': 44, 'end': 63, 'label': 'PPTD'}","{'start': 64, 'end': 72, 'label': 'PATH'}","{'start': 74, 'end': 85, 'label': 'PATH'}","{'start': 87, 'end': 110, 'label': 'PATH'}","{'start': 112, 'end': 116, 'label': 'PATH'}","{'start': 123, 'end': 143, 'label': 'PATH'}","{'start': 145, 'end': 148, 'label': 'PATH'}",,,,
"Lodging was a little less than Voyager, but protein was higher.","{'start': 0, 'end': 7, 'label': 'TRAT'}","{'start': 31, 'end': 38, 'label': 'CVAR'}","{'start': 44, 'end': 51, 'label': 'TRAT'}",,,,,,,,,,
Lodging was high in the irrigated trials.,"{'start': 0, 'end': 7, 'label': 'TRAT'}",,,,,,,,,,,,
"Overall yield was slightly below average (Table 49) and similar to ABI Growler, with average or better test weight and plumps.","{'start': 8, 'end': 13, 'label': 'TRAT'}","{'start': 67, 'end': 78, 'label': 'CVAR'}","{'start': 103, 'end': 114, 'label': 'TRAT'}","{'start': 119, 'end': 125, 'label': 'TRAT'}",,,,,,,,,
Synergy is being marketed by Syngenta in the US.,"{'start': 0, 'end': 7, 'label': 'CVAR'}","{'start': 29, 'end': 37, 'label': 'ORG'}","{'start': 45, 'end': 47, 'label': 'GPE'}",,,,,,,,,,
"Three-year average yields were below LCS Odyssey and similar to Moravian 69, with higher test weight and similar lodging.","{'start': 37, 'end': 48, 'label': 'CVAR'}","{'start': 64, 'end': 75, 'label': 'CVAR'}","{'start': 89, 'end': 100, 'label': 'TRAT'}","{'start': 113, 'end': 120, 'label': 'TRAT'}",,,,,,,,,
"Under Idaho growing conditions, AAC Connect was 3-4 inches taller than average with average lodging, had high test weight and percent plumps.","{'start': 6, 'end': 11, 'label': 'GPE'}","{'start': 32, 'end': 43, 'label': 'CVAR'}","{'start': 59, 'end': 65, 'label': 'TRAT'}","{'start': 92, 'end': 99, 'label': 'TRAT'}","{'start': 110, 'end': 121, 'label': 'TRAT'}","{'start': 126, 'end': 140, 'label': 'TRAT'}",,,,,,,
"Voyager is similar to Conrad in test weight, has a little earlier heading date, lower protein, but is taller (2-4 inches).","{'start': 0, 'end': 7, 'label': 'CVAR'}","{'start': 22, 'end': 28, 'label': 'CVAR'}","{'start': 32, 'end': 43, 'label': 'TRAT'}","{'start': 66, 'end': 78, 'label': 'TRAT'}","{'start': 86, 'end': 93, 'label': 'TRAT'}","{'start': 102, 'end': 108, 'label': 'TRAT'}",,,,,,,
"a newer release by Busch Agricultural Resources in 2018, Eagle has been tested in the variety trials for three years in which yield and test weight were comparable to ABI Voyager.","{'start': 19, 'end': 47, 'label': 'ORG'}","{'start': 57, 'end': 62, 'label': 'CVAR'}","{'start': 126, 'end': 131, 'label': 'TRAT'}","{'start': 136, 'end': 147, 'label': 'TRAT'}","{'start': 167, 'end': 178, 'label': 'CVAR'}",,,,,,,,
